iter	R2	RMSE
0	0.03678179699	90642.6819
1	0.07146711584	88995.70558
2	0.1033929381	87452.34989
3	0.1337669034	85958.29501
4	0.164506596	84419.33348
5	0.1916063868	83038.94884
6	0.2183808397	81652.22142
7	0.2423742184	80389.21331
8	0.2651804667	79170.01957
9	0.2867830518	77997.59891
10	0.3077126209	76844.64581
11	0.3278272985	75720.04118
12	0.3469637087	74634.40324
13	0.3649436433	73599.78402
14	0.3824483534	72578.34289
15	0.3992463559	71584.4369
16	0.4152223115	70626.19404
17	0.430057317	69724.59453
18	0.4447082527	68822.59052
19	0.4577386763	68010.30478
20	0.4711237248	67165.68508
21	0.4846442535	66301.59369
22	0.4966049516	65527.69263
23	0.5081590433	64771.32054
24	0.5192896163	64034.22502
25	0.5296919897	63337.59869
26	0.5389892248	62708.43239
27	0.5486034303	62051.10694
28	0.5572666521	61452.77852
29	0.5663768279	60817.2316
30	0.5745461257	60241.62073
31	0.5821089079	59703.79851
32	0.5894151991	59179.57479
33	0.5971817629	58617.18636
34	0.6037191482	58139.58803
35	0.6100932731	57670.10872
36	0.6164006715	57201.75128
37	0.6224407091	56749.62381
38	0.6282241139	56313.30476
39	0.6336165186	55903.41628
40	0.6388286152	55504.35667
41	0.644002865	55105.33634
42	0.6487916925	54733.44652
43	0.6535719566	54359.68439
44	0.6578384963	54023.90575
45	0.6626295328	53644.34383
46	0.6666780927	53321.49719
47	0.6707242098	52996.88044
48	0.6744765561	52694.04547
49	0.6782193451	52390.23804
50	0.68143619	52127.70736
51	0.6850789175	51828.81435
52	0.6884347212	51551.93045
53	0.6918261338	51270.58934
54	0.6947878954	51023.62181
55	0.6979287164	50760.41063
56	0.7008152518	50517.30007
57	0.7037062528	50272.63504
58	0.7064778633	50036.95078
59	0.7090239668	49819.45997
60	0.7115481293	49602.90206
61	0.7136168152	49424.71382
62	0.7158689083	49229.99437
63	0.7178141273	49061.18569
64	0.7198546259	48883.48206
65	0.7215224936	48737.74898
66	0.7237539407	48542.08785
67	0.7256907004	48371.62437
68	0.7278875148	48177.5422
69	0.7296009896	48025.61721
70	0.7314902423	47857.54788
71	0.7331601992	47708.49428
72	0.734838257	47558.24706
73	0.7366295591	47397.33479
74	0.7382119995	47254.7287
75	0.7397194152	47118.48228
76	0.7411575673	46988.12793
77	0.7426495765	46852.50867
78	0.7438608433	46742.11868
79	0.7455582376	46586.98488
80	0.7468734433	46466.42516
81	0.748154162	46348.72537
82	0.7495790467	46217.42428
83	0.7506135005	46121.86665
84	0.752120357	45982.31551
85	0.7532288935	45879.38211
86	0.7544534136	45765.40991
87	0.7554216338	45675.09148
88	0.7564118252	45582.53842
89	0.7573229664	45497.20785
90	0.7583489993	45400.92539
91	0.7593288321	45308.78736
92	0.7604460348	45203.50266
93	0.7614311734	45110.45975
94	0.7622215957	45035.66814
95	0.7631096983	44951.48532
96	0.7640056248	44866.40084
97	0.7648058107	44790.27203
98	0.765653899	44709.44433
99	0.7665572126	44623.19232
100	0.7672670682	44555.2953
101	0.7681203449	44473.543
102	0.7686733437	44420.47991
103	0.7695115845	44339.92532
104	0.7702020803	44273.45886
105	0.7710412492	44192.5467
106	0.7717913931	44120.09268
107	0.7724588563	44055.52433
108	0.7734926271	43955.33331
109	0.7742877428	43878.11662
110	0.7749030947	43818.26407
111	0.7754705042	43763.00211
112	0.7762241522	43689.49368
113	0.7769561792	43617.97549
114	0.7777988937	43535.49779
115	0.7784605094	43470.63483
116	0.7789787686	43419.75846
117	0.779608798	43357.82947
118	0.7803184729	43287.96558
119	0.7807441357	43246.00709
120	0.7811504924	43205.91362
121	0.7815496771	43166.49152
122	0.7822934907	43092.93887
123	0.7830743805	43015.58458
124	0.7835565403	42967.75269
125	0.7838838233	42935.25475
126	0.7845997611	42864.07898
127	0.7852260545	42801.71824
128	0.7858245725	42742.03812
129	0.7863313032	42691.44518
130	0.7867263432	42651.96203
131	0.787251844	42599.38295
132	0.7876517277	42559.32899
133	0.7881802662	42506.33054
134	0.788715695	42452.57371
135	0.7893598489	42387.81058
136	0.7896979027	42353.78309
137	0.7902575	42297.39551
138	0.7907358683	42249.13328
139	0.7915643099	42165.42173
140	0.7920358331	42117.70142
141	0.7925140917	42069.24416
142	0.7930034566	42019.60377
143	0.7933731067	41982.06814
144	0.7941482396	41903.24911
145	0.7944882312	41868.63041
146	0.7949073381	41825.91659
147	0.795299957	41785.86271
148	0.7956756285	41747.50179
149	0.796034731	41710.79979
150	0.796456993	41667.60123
151	0.7969088679	41621.32353
152	0.7972787801	41583.40151
153	0.7974423056	41566.62646
154	0.7978568852	41524.06697
155	0.7981286301	41496.14678
156	0.7984200453	41466.1847
157	0.7988948893	41417.31679
158	0.7991474934	41391.29689
159	0.7997388966	41330.31435
160	0.8000376955	41299.46947
161	0.8002578379	41276.72951
162	0.80070112	41230.90193
163	0.8012028146	41178.974
164	0.8015902539	41138.82723
165	0.8018577866	41111.08238
166	0.8022095075	41074.57818
167	0.8025765169	41036.4526
168	0.8028823381	41004.65627
169	0.8032222265	40969.28902
170	0.8033777581	40953.09492
171	0.803839334	40904.99744
172	0.8040410102	40883.96446
173	0.8045177218	40834.20474
174	0.8047331707	40811.69603
175	0.8050106232	40782.69128
176	0.8053718305	40744.89989
177	0.805605629	40720.41999
178	0.8062194407	40656.08059
179	0.8063805004	40639.18154
180	0.8067683721	40598.45555
181	0.8068972511	40584.91439
182	0.8073978902	40532.26992
183	0.8079220671	40477.07699
184	0.8081430843	40453.78252
185	0.8084434797	40422.10034
186	0.8085440009	40411.493
187	0.8088150812	40382.87378
188	0.8094112062	40319.86663
189	0.8096432549	40295.31371
190	0.8101562453	40240.98137
191	0.8104635311	40208.40066
192	0.810822149	40170.34392
193	0.811226826	40127.35602
194	0.8114937591	40098.97511
195	0.8116981	40077.23555
196	0.8119458714	40050.85967
197	0.8121278497	40031.47655
198	0.8124375265	39998.47024
199	0.8129491025	39943.88514
200	0.8132459486	39912.17748
201	0.8134885209	39886.24837
202	0.8139476491	39837.12488
203	0.8142217441	39807.76975
204	0.8143778106	39791.04561
205	0.8145886794	39768.43766
206	0.8148148477	39744.17511
207	0.8152549078	39696.92449
208	0.8154178012	39679.41985
209	0.8155680539	39663.26674
210	0.8159420045	39623.0361
211	0.8161722899	39598.24103
212	0.8164239574	39571.12596
213	0.8165647899	39555.94431
214	0.8168064187	39529.88334
215	0.817087014	39499.59801
216	0.8174392554	39461.54687
217	0.8178341229	39418.84734
218	0.8181498605	39384.67131
219	0.8184245662	39354.91252
220	0.819154583	39275.72041
221	0.8193148403	39258.31434
222	0.8194642263	39242.08209
223	0.8197701048	39208.82442
224	0.8198755321	39197.35494
225	0.8200992158	39173.00918
226	0.8203010777	39151.02552
227	0.8204559127	39134.15492
228	0.8206391157	39114.18399
229	0.8208135532	39095.15911
230	0.8209948653	39075.37463
231	0.8212865328	39043.52733
232	0.8215081342	39019.31319
233	0.8219147837	38974.83993
234	0.822071884	38957.64504
235	0.8222743173	38935.47719
236	0.8226188747	38897.71671
237	0.8228133062	38876.39253
238	0.8230696691	38848.25815
239	0.8232406962	38829.47756
240	0.8234014034	38811.82193
241	0.8236296291	38786.73475
242	0.82383841	38763.77079
243	0.8241839044	38725.73968
244	0.8244564384	38695.7135
245	0.8247312524	38665.4125
246	0.8249686728	38639.2154
247	0.8252969535	38602.96342
248	0.8254332925	38587.89752
249	0.8257212594	38556.05691
250	0.8258145123	38545.74026
251	0.8260056426	38524.58672
