iter	Passed	Remaining
0	89	89683
1	95	47464
2	97	32390
3	99	24771
4	101	20164
5	103	17090
6	104	14891
7	106	13202
8	108	11892
9	109	10817
10	110	9942
11	111	9210
12	113	8587
13	114	8053
14	115	7595
15	119	7354
16	121	7025
17	122	6705
18	124	6437
19	126	6191
20	128	5969
21	129	5752
22	130	5558
23	132	5382
24	133	5219
25	135	5059
26	136	4919
27	137	4782
28	138	4650
29	140	4531
30	141	4423
31	142	4316
32	144	4246
33	146	4154
34	147	4066
35	148	3983
36	149	3902
37	151	3827
38	152	3755
39	153	3688
40	155	3625
41	156	3563
42	157	3509
43	158	3453
44	160	3399
45	161	3347
46	162	3300
47	164	3253
48	165	3207
49	166	3164
50	167	3123
51	169	3081
52	170	3041
53	171	3004
54	172	2967
55	174	2933
56	175	2899
57	177	2882
58	178	2851
59	180	2821
60	181	2790
61	182	2759
62	183	2731
63	184	2704
64	186	2678
65	187	2652
66	188	2627
67	189	2602
68	191	2578
69	192	2555
70	193	2533
71	194	2512
72	196	2492
73	197	2472
74	198	2451
75	200	2431
76	201	2413
77	202	2394
78	203	2376
79	205	2360
80	206	2343
81	207	2325
82	209	2309
83	210	2293
84	211	2277
85	212	2261
86	214	2246
87	215	2231
88	216	2216
89	217	2202
90	219	2188
91	220	2174
92	221	2160
93	222	2146
94	224	2133
95	225	2121
96	226	2109
97	227	2097
98	229	2085
99	230	2073
100	231	2062
101	233	2051
102	234	2040
103	235	2028
104	236	2017
105	237	2006
106	239	1996
107	240	1986
108	241	1976
109	243	1966
110	244	1956
111	245	1946
112	246	1937
113	247	1927
114	249	1917
115	250	1908
116	251	1899
117	252	1890
118	254	1883
119	255	1875
120	256	1866
121	258	1858
122	259	1849
123	260	1841
124	261	1833
125	263	1825
126	264	1817
127	265	1810
128	267	1805
129	268	1798
130	269	1790
131	271	1783
132	272	1776
133	273	1769
134	274	1761
135	276	1755
136	277	1748
137	278	1740
138	279	1734
139	281	1727
140	282	1720
141	283	1713
142	285	1708
143	286	1701
144	287	1694
145	288	1688
146	289	1682
147	291	1675
148	292	1669
149	293	1663
150	294	1657
151	296	1651
152	297	1646
153	298	1640
