Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price,Ecology_2_A,Ecology_2_B,Ecology_3_A,Ecology_3_B,Shops_2_A,Shops_2_B,DistrictId_counts,AverageSquareMeterPrice
14038,35,2.0,47.98156,29.44275,6.0,7,9.0,1969,0.08903972,B,B,33,7976,5,,0,11,B,184966.94,0,1,0,1,0,1,22,4384.6284
15053,41,3.0,65.68364,40.04954,8.0,7,9.0,1978,6.99893e-05,B,B,46,10309,1,240.0,1,16,B,300009.44,0,1,0,1,0,1,87,4293.4805
4765,53,2.0,44.947952,29.19761,3.0,8,12.0,1968,0.049637258,B,B,34,7759,0,229.0,1,3,B,220925.9,0,1,0,1,0,1,174,4835.4014
5809,58,2.0,53.35298,52.73151,9.0,8,17.0,1977,0.43788525,B,B,23,5735,3,1084.0,0,5,B,175616.23,0,1,0,1,0,1,179,3021.675
10783,99,1.0,39.649193,23.776169,7.0,11,12.0,1976,0.012338886,B,B,35,5776,1,2078.0,2,4,B,150226.53,0,1,0,1,0,1,97,3938.3296
12915,59,3.0,80.384476,46.68372,12.0,5,17.0,2011,0.30947912,B,B,35,7715,4,990.0,0,6,B,215898.45,0,1,0,1,0,1,67,4746.4946
14549,154,2.0,62.254112,37.160378,7.0,3,5.0,1960,0.4605564,B,B,20,4386,14,,1,5,B,296021.22,0,1,0,1,0,1,10,5457.092
11993,74,2.0,80.31293,32.78126,3.0,14,1.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,221244.16,0,1,0,1,0,1,114,3355.343
5172,1,2.0,64.51144,32.78126,3.0,9,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B,229102.8,0,1,0,1,0,1,652,3212.334
8649,23,1.0,46.46141,18.915552,8.0,13,17.0,2014,0.07577875,B,B,6,1437,3,,0,2,B,95380.22,0,1,0,1,0,1,565,2284.1086
15370,28,2.0,46.304905,27.922585,6.0,8,9.0,1973,0.11853738,B,B,30,6207,1,1183.0,1,0,B,204243.55,0,1,0,1,0,1,79,4373.9766
12427,31,3.0,68.80886,45.736904,7.0,1,8.0,1959,0.0,B,B,23,3684,2,,0,4,B,165534.55,0,1,0,1,0,1,55,5432.5786
6452,13,2.0,54.522804,31.759752,3.0,8,12.0,1999,0.0907991,B,B,74,19083,2,,5,15,B,229220.38,0,1,0,1,0,1,97,4215.115
2408,57,3.0,68.10274,39.311493,8.0,6,12.0,1980,0.13321534,B,B,49,11395,3,1406.0,3,4,A,252481.9,0,1,0,1,1,0,107,4084.4644
10953,27,1.0,53.769096,52.408028,3.0,5,4.0,1977,0.072157584,B,B,2,629,1,,0,0,A,140647.56,0,1,0,1,1,0,851,2766.0232
2823,85,3.0,73.61223,53.89209,6.0,4,9.0,1979,0.03717782,B,B,52,11217,1,2300.0,1,7,B,89084.33,0,1,0,1,0,1,76,4134.228
2119,27,2.0,49.36065,31.993963,5.0,6,5.0,1983,0.051815435,B,B,5,1227,0,,0,0,B,117000.38,0,1,0,1,0,1,851,2766.0232
3000,34,2.0,57.969963,32.01248,9.0,6,14.0,2001,0.069753364,B,B,53,13670,4,,1,11,B,231828.44,0,1,0,1,0,1,111,4338.7114
2829,57,1.0,44.51348,23.113422,8.0,6,12.0,1983,0.13321534,B,B,49,11395,3,1406.0,3,4,A,183743.23,0,1,0,1,1,0,107,4084.4644
4909,19,3.0,110.95979,56.996765,11.0,16,25.0,2012,0.000991363,B,B,33,6783,3,,1,9,B,394895.3,0,1,0,1,0,1,31,4232.3115
8862,0,3.0,103.60529,47.799427,10.0,12,17.0,2002,0.31980935,B,B,25,4756,16,2857.0,5,8,B,521919.06,0,1,0,1,0,1,48,3710.4011
11935,27,2.0,64.71184,32.78126,3.0,15,1.0,1977,0.21140121,B,B,9,1892,0,,0,1,B,127200.02,0,1,0,1,0,1,851,2766.0232
11852,48,1.0,41.668648,20.207762,10.0,19,22.0,1996,0.041124634,B,B,46,9515,5,,1,10,B,215083.97,0,1,0,1,0,1,90,5031.626
6641,54,3.0,118.90761,32.78126,3.0,2,1.0,1977,0.006076152,B,B,30,5285,0,645.0,6,6,B,571069.06,0,1,0,1,0,1,37,4537.487
7704,150,3.0,62.180534,44.169693,5.0,4,5.0,1964,0.020741327,B,B,24,5613,5,1340.0,2,5,B,241718.1,0,1,0,1,0,1,10,4103.6094
5073,74,2.0,82.667915,32.78126,3.0,16,17.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,244145.83,0,1,0,1,0,1,114,3355.343
4378,27,3.0,106.95887,10.0,3.0,17,1.0,2018,0.072157584,B,B,2,629,1,,0,0,A,337299.88,0,1,0,1,1,0,851,2766.0232
7550,23,2.0,64.556206,32.78126,3.0,8,17.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,173910.92,0,1,0,1,0,1,565,2284.1086
8054,23,1.0,42.530045,43.96776,3.0,3,9.0,2014,0.03465608,B,B,0,168,0,,0,0,B,95338.195,0,1,0,1,0,1,565,2284.1086
522,11,2.0,48.37223,31.007582,6.0,4,9.0,1972,0.000169676,B,B,36,5992,0,,1,1,B,213374.17,0,1,0,1,0,1,129,4055.9749
89,50,2.0,39.435352,23.377687,7.0,9,9.0,1965,0.007658515,B,B,35,7077,56,2301.0,3,19,B,283877.62,0,1,0,1,0,1,4,7098.4673
4785,61,1.0,41.765156,19.343185,9.0,12,16.0,1984,0.30032253,B,B,52,10311,6,,1,9,B,189007.23,0,1,0,1,0,1,118,4344.9434
13253,27,2.0,63.679115,37.275776,3.0,9,15.0,1977,0.017647052,B,B,2,469,0,,0,0,B,178721.7,0,1,0,1,0,1,851,2766.0232
13905,44,1.0,34.767227,18.209648,6.0,7,9.0,1972,0.036122292,B,B,24,4378,0,1036.0,1,1,B,154928.81,0,1,0,1,0,1,104,4572.484
8384,90,2.0,42.17678,28.08569,5.0,2,5.0,1965,0.26508868,B,B,37,5288,0,1937.0,3,2,B,176344.83,0,1,0,1,0,1,72,4405.3716
6486,200,3.0,85.28039,58.447968,9.0,6,5.0,1960,0.0,B,B,33,7425,1,,2,5,B,402871.9,0,1,0,1,0,1,6,5247.428
11703,23,1.0,41.118767,32.78126,3.0,4,17.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,103510.23,0,1,0,1,0,1,565,2284.1086
14591,43,2.0,43.70166,26.350359,5.0,5,9.0,1961,0.015016892,B,B,17,3079,59,2890.0,0,8,B,287056.0,0,1,0,1,0,1,9,7756.986
8224,177,3.0,77.87394,48.991135,12.0,9,25.0,2012,0.0,B,B,36,6714,2,2672.0,0,2,B,191550.12,0,1,0,1,0,1,10,4255.5146
9371,23,2.0,60.50325,32.78126,3.0,16,1.0,1977,0.03465608,B,B,0,168,0,,0,0,B,229778.06,0,1,0,1,0,1,565,2284.1086
10739,99,2.0,45.257137,32.613827,5.0,4,5.0,1971,0.03349371,B,B,66,10573,1,1322.0,3,8,B,171266.95,0,1,0,1,0,1,97,3938.3296
1853,101,3.0,58.419815,37.275616,5.0,5,5.0,1963,0.22582495,A,B,41,6558,7,1548.0,3,2,B,197456.92,1,0,0,1,0,1,97,4177.75
9833,1,2.0,56.494316,54.723568,3.0,9,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B,196078.9,0,1,0,1,0,1,652,3212.334
175,23,2.0,58.69213,32.78126,3.0,16,17.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,184501.02,0,1,0,1,0,1,565,2284.1086
10521,38,3.0,104.211395,106.3404,3.0,20,1.0,2017,0.060753047,B,B,15,2787,2,520.0,0,7,B,435462.06,0,1,0,1,0,1,36,4515.7954
7008,21,2.0,48.85174,33.533432,5.0,5,5.0,1970,0.19448927,B,B,47,8004,3,125.0,3,5,B,183826.31,0,1,0,1,0,1,165,4084.277
1821,23,2.0,49.92949,32.78126,3.0,9,12.0,1977,0.03465608,B,B,0,168,0,,0,0,B,88464.42,0,1,0,1,0,1,565,2284.1086
14292,103,1.0,41.53814,23.292934,8.0,7,16.0,1981,0.014423114,B,B,19,3806,4,,0,3,B,234052.27,0,1,0,1,0,1,33,5010.3276
7596,23,1.0,47.0801,46.80799,12.0,3,9.0,1977,0.014072961,B,B,2,475,0,,0,0,B,96029.164,0,1,0,1,0,1,565,2284.1086
13393,98,1.0,41.270615,20.455946,7.0,8,14.0,2003,0.19578105,B,B,23,5212,6,,3,2,B,214733.34,0,1,0,1,0,1,21,4307.0386
2221,170,1.0,35.390236,21.675589,5.0,3,5.0,1963,0.21843974,B,B,21,4472,6,1450.0,4,7,A,172795.86,0,1,0,1,1,0,16,4893.2373
10103,94,1.0,35.280895,23.354176,6.0,11,9.0,1971,0.28279766,B,B,33,8667,2,,0,6,B,148862.2,0,1,0,1,0,1,89,4194.537
